split_id,accuracy,macro_precision,macro_recall,macro_f1
1,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4396825396825396
2,0.3333333333333333,0.47222222222222227,0.3333333333333333,0.3304473304473304
3,0.5555555555555556,0.6388888888888888,0.5555555555555556,0.5499999999999999
4,0.3888888888888889,0.4305555555555555,0.3888888888888889,0.376984126984127
5,0.5,0.5055555555555555,0.5,0.4972222222222222
6,0.4444444444444444,0.38333333333333336,0.4444444444444444,0.3952380952380952
7,0.3888888888888889,0.4166666666666667,0.38888888888888884,0.369047619047619
8,0.4444444444444444,0.5476190476190476,0.4444444444444444,0.44999999999999996
9,0.5555555555555556,0.5416666666666666,0.5555555555555556,0.5380952380952381
10,0.3333333333333333,0.38888888888888884,0.3333333333333333,0.324074074074074
