split_id,accuracy,macro_precision,macro_recall,macro_f1
1,0.5,0.525,0.5,0.4976190476190476
2,0.3333333333333333,0.4675925925925926,0.3333333333333333,0.3253968253968254
3,0.4444444444444444,0.4305555555555555,0.4444444444444444,0.43174603174603177
4,0.4444444444444444,0.5138888888888888,0.4444444444444444,0.4484126984126984
5,0.4444444444444444,0.5277777777777778,0.4444444444444444,0.448941798941799
6,0.5,0.4166666666666667,0.49999999999999994,0.4296296296296296
7,0.3333333333333333,0.4583333333333333,0.3333333333333333,0.35687830687830685
8,0.4444444444444444,0.3888888888888889,0.4444444444444444,0.39788359788359795
9,0.5555555555555556,0.6,0.5555555555555557,0.5416666666666667
10,0.3888888888888889,0.3531746031746032,0.38888888888888884,0.3507936507936508
