split_id,accuracy,precision,recall,f1,roc_auc
1,0.8571428571428571,1.0,0.8333333333333334,0.9090909090909091,0.9074074074074074
2,0.9523809523809523,0.9473684210526315,1.0,0.972972972972973,1.0
3,0.8095238095238095,0.85,0.9444444444444444,0.8947368421052632,0.425925925925926
4,0.8571428571428571,0.9411764705882353,0.8888888888888888,0.9142857142857143,0.8518518518518519
5,0.7142857142857143,0.875,0.7777777777777778,0.823529411764706,0.7037037037037037
6,0.9523809523809523,0.9473684210526315,1.0,0.972972972972973,1.0
7,0.9047619047619048,0.9,1.0,0.9473684210526316,0.8148148148148149
8,0.7619047619047619,0.8421052631578947,0.8888888888888888,0.8648648648648649,0.7037037037037038
9,0.8095238095238095,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.5370370370370371
10,0.8571428571428571,0.8947368421052632,0.9444444444444444,0.918918918918919,0.8333333333333333
