split_id,accuracy,macro_precision,macro_recall,macro_f1
1,0.5,0.5333333333333333,0.5,0.5035714285714287
2,0.3888888888888889,0.4166666666666667,0.38888888888888884,0.3925925925925926
3,0.5555555555555556,0.5158730158730159,0.5555555555555555,0.5111111111111112
4,0.4444444444444444,0.4861111111111111,0.4444444444444444,0.45396825396825397
5,0.6111111111111112,0.513888888888889,0.6111111111111112,0.5428571428571428
6,0.6111111111111112,0.611111111111111,0.611111111111111,0.6063492063492063
7,0.5,0.5972222222222222,0.49999999999999994,0.4994949494949495
8,0.6111111111111112,0.611111111111111,0.611111111111111,0.6015873015873016
9,0.7777777777777778,0.7916666666666666,0.7777777777777778,0.7714285714285715
10,0.5555555555555556,0.5555555555555555,0.5555555555555555,0.5555555555555555
