split_id,accuracy,macro_precision,macro_recall,macro_f1
1,0.6111111111111112,0.6222222222222222,0.611111111111111,0.6055555555555555
2,0.6111111111111112,0.65,0.611111111111111,0.6166666666666666
3,0.7777777777777778,0.8361111111111111,0.7777777777777778,0.7623015873015873
4,0.7222222222222222,0.8027777777777777,0.7222222222222222,0.7206349206349206
5,0.8333333333333334,0.8916666666666666,0.8333333333333334,0.817857142857143
6,0.7777777777777778,0.8361111111111111,0.7777777777777777,0.7623015873015873
7,0.7777777777777778,0.8222222222222221,0.7777777777777777,0.7638888888888888
8,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142857
9,0.8888888888888888,0.9027777777777777,0.8888888888888888,0.8873015873015874
10,0.6111111111111112,0.6694444444444444,0.611111111111111,0.6003968253968254
